Jahr;BIP_SO;BIP_NWCH;BIP_CH
2008;16764.66925;88564.1222;614407.7193
2009;16119.66708;86806.3757;603039.0736
2010;16640.00445;88476.87018;624545.1186
2011;16917.99754;90486.4725;635738.7442
2012;17011.32618;90232.37095;643645.5891
2013;17296.25571;91795.05271;654611.669
2014;17571.80308;93901.84257;665618.3745
2015;17665.54196;94684.33401;668006.3817
2016;17665.91637;97771.48251;677848.3306
2017;17888.23339;100363.6572;684558.4675
2018;18369.42889;102616.7776;709521.5565
2019;18620.63281;103642.1537;716878.5898
2020;18028.536;101324.666;694661.7358
